Date,Speed,Vehicle,Obj ID
Fri Jul 24 19:22:13 2020,35.0,car,2
Fri Jul 24 19:22:14 2020,27.5,car,5
Fri Jul 24 19:22:17 2020,25.0,car,8
Fri Jul 24 19:22:19 2020,26.0,car,10
Fri Jul 24 19:22:24 2020,21.0,car,18
Fri Jul 24 19:22:26 2020,27.5,car,22
Fri Jul 24 19:22:27 2020,30.0,motorbike,24
Fri Jul 24 19:22:31 2020,25.0,car,31
Fri Jul 24 19:22:35 2020,22.0,bus,40
Fri Jul 24 19:22:38 2020,26.0,car,46
Fri Jul 24 19:22:40 2020,32.5,car,52
Fri Jul 24 19:22:44 2020,14.7,car,57
Fri Jul 24 19:22:45 2020,18.5,car,61
Fri Jul 24 19:22:47 2020,21.0,car,67
Fri Jul 24 19:22:49 2020,27.5,car,77
Fri Jul 24 19:22:50 2020,17.0,car,80
Fri Jul 24 19:22:52 2020,23.5,car,87
Fri Jul 24 19:22:53 2020,23.5,car,90
Fri Jul 24 19:22:56 2020,21.0,car,99
Fri Jul 24 19:22:58 2020,23.5,car,103
Fri Jul 24 19:23:02 2020,17.5,car,109
Fri Jul 24 19:23:03 2020,18.5,car,114
Fri Jul 24 19:23:04 2020,23.5,car,120
Fri Jul 24 19:23:05 2020,30.0,car,122
Fri Jul 24 19:23:07 2020,27.5,car,123
Fri Jul 24 19:23:09 2020,27.5,car,124
Fri Jul 24 19:23:10 2020,32.5,car,128
Fri Jul 24 19:23:13 2020,23.5,car,131
Fri Jul 24 19:23:15 2020,23.5,car,139
Fri Jul 24 19:23:15 2020,35.0,car,140
Fri Jul 24 19:23:17 2020,27.5,car,142
Fri Jul 24 19:23:19 2020,32.5,car,146
Fri Jul 24 19:23:22 2020,33.8,car,152
Fri Jul 24 19:23:23 2020,30.0,car,154
Fri Jul 24 19:23:26 2020,35.0,car,163
Fri Jul 24 19:23:32 2020,18.0,truck,175
Fri Jul 24 19:23:34 2020,30.0,car,179
Fri Jul 24 19:23:36 2020,22.5,car,189
Fri Jul 24 19:23:38 2020,23.5,car,194
Fri Jul 24 19:23:40 2020,21.0,car,197
Fri Jul 24 19:23:46 2020,35.0,car,213
Fri Jul 24 19:23:50 2020,20.0,car,217
Fri Jul 24 19:23:52 2020,31.0,car,224
Fri Jul 24 19:23:54 2020,27.5,car,225
Fri Jul 24 19:23:55 2020,21.0,car,229
Fri Jul 24 19:23:57 2020,30.0,car,233
Fri Jul 24 19:23:58 2020,31.0,car,241
Fri Jul 24 19:24:00 2020,27.5,car,243
Fri Jul 24 19:24:02 2020,20.0,car,244
Fri Jul 24 19:24:03 2020,30.0,car,249
Fri Jul 24 19:24:04 2020,27.5,car,254
Fri Jul 24 19:24:06 2020,26.0,car,256
Fri Jul 24 19:24:07 2020,26.0,car,259
